sample_id,depth_m,lithology,porosity,permeability
S001,1002.78,Sandstone,0.1776,182.39
S002,1004.2,Sandstone,0.1351,68.61
S003,1007.34,Sandstone,0.2163,750.7
S004,1010.12,Sandstone,0.2042,491.78
S005,1012.4,Limestone,0.1825,562.4
S006,1015.4,Limestone,0.1736,235.47
S007,1016.93,Limestone,0.227,611.85
S008,1019.69,Limestone,0.2151,921.99
S009,1022.96,Sandstone,0.276,569.6
S010,1024.59,Sandstone,0.2758,2091.4
S011,1027.22,Sandstone,0.1748,216.37
S012,1029.58,Sandstone,0.1624,415.37
S013,1033.23,Shale,0.1651,237.77
S014,1034.74,Sandstone,0.264,1477.79
S015,1037.9,Sandstone,0.1515,297.73
S016,1039.33,Shale,0.1567,170.44
S017,1043.35,Sandstone,0.1901,612.43
S018,1044.11,Sandstone,0.2322,1157.48
S019,1047.3,Sandstone,0.2148,979.9
S020,1049.63,Shale,0.3193,1810.19
S021,1053.33,Shale,0.2005,701.63
S022,1055.08,Sandstone,0.2057,509.68
S023,1057.67,Limestone,0.2198,699.34
S024,1059.18,Sandstone,0.3841,5525.03
S025,1061.81,Sandstone,0.1964,194.83
S026,1064.76,Shale,0.1193,114.81
S027,1068.44,Sandstone,0.1674,467.37
S028,1070.5,Limestone,0.1532,108.01
S029,1072.37,Shale,0.276,1782.28
S030,1075.94,Sandstone,0.182,396.02
S031,1076.71,Limestone,0.2189,397.56
S032,1079.75,Sandstone,0.1201,118.74
S033,1083.06,Sandstone,0.2507,1008.02
S034,1084.22,Limestone,0.1403,273.64
S035,1088.16,Limestone,0.1829,434.79
S036,1089.16,Shale,0.2244,1055.87
S037,1093.46,Sandstone,0.1831,385.35
S038,1095.1,Limestone,0.1487,221.91
S039,1097.71,Sandstone,0.2708,1630.14
S040,1100.43,Shale,0.1365,278.65
S041,1102.8,Shale,0.2331,535.9
S042,1104.13,Sandstone,0.1412,205.36
S043,1106.96,Sandstone,0.274,520.41
S044,1109.13,Sandstone,0.1843,609.52
S045,1111.64,Sandstone,0.1677,323.21
S046,1115.45,Sandstone,0.2481,1097.39
S047,1116.99,Shale,0.1938,209.08
S048,1119.86,Shale,0.1435,168.43
S049,1123.23,Sandstone,0.1,28.86
S050,1124.81,Limestone,0.0269,1.79
S051,1126.72,Sandstone,0.204,492.14
S052,1129.56,Sandstone,0.2409,1379.89
S053,1131.65,Sandstone,0.2512,1088.22
S054,1134.03,Sandstone,0.2303,1262.67
S055,1138.2,Sandstone,0.1228,181.14
S056,1140.8,Sandstone,0.2181,561.34
S057,1143.47,Limestone,0.2742,941.58
S058,1145.39,Sandstone,0.1331,187.62
S059,1147.47,Sandstone,0.1343,174.71
S060,1150.08,Limestone,0.3312,913.53
